,stop_id,level6,level5,level4,level3,level2,level1,levelNights,stop_lat,stop_lon
3006,COMM_1907,1,1,1,,,,,47.612041,-122.339168
3007,COMM_1079,1,1,1,,,,,47.610619,-122.340247
3008,COMM_2909,1,1,1,,,,,47.606141,-122.336024
3009,COMM_2631,1,1,1,,,,,47.603219,-122.333337
3010,COMM_546,1,1,1,,,,,47.602055,-122.328289
3011,COMM_685,1,1,1,,,,,47.603438,-122.328821
3012,COMM_2766,1,1,1,1,1,,,47.787566,-122.316282
3013,COMM_2132,1,1,1,,,,,47.793915,-122.211428
3014,COMM_2091,1,,,,,,,47.879118,-122.220865
3015,COMM_140,1,,,,,,,47.873977,-122.154283
3016,COMM_141,1,,,,,,,47.871081,-122.156891
3017,COMM_152,1,,,,,,,47.868462,-122.160451
3018,COMM_144,1,,,,,,,47.865367,-122.163137
3019,COMM_2883,1,1,,,,,,48.061339,-122.179301
3020,COMM_240,1,1,,,,,,48.049927,-122.182828
3021,COMM_2115,1,1,,,,,,47.816308,-122.296917
3022,COMM_2191,1,1,1,1,1,,,47.702191,-122.328018
3023,COMM_290,1,1,,,,,,47.799368,-122.321252
3024,COMM_297,1,1,,,,,,47.799356,-122.311625
3025,COMM_3253,1,1,,,,,,47.703774,-122.328506
3026,COMM_2667,1,1,,,,,,47.879667,-122.220682
3027,COMM_3265,1,1,,,,,,47.950451,-122.295936
3028,COMM_2192,1,1,1,1,1,,,47.702012,-122.328377
3029,COMM_3266,1,1,,,,,,47.784752,-122.314166
3030,COMM_1676,1,1,,,,,,47.799593,-122.31073
3031,COMM_2163,1,1,,,,,,47.853448,-122.257584
3032,COMM_2039,1,1,,,,,,47.879399,-122.220526
3033,COMM_2673,1,1,,,,,,47.799578,-122.318662
3034,COMM_1677,1,1,,,,,,47.799584,-122.320713
3035,COMM_2884,1,1,,,,,,48.061654,-122.180212
3036,COMM_158,1,,,,,,,47.868951,-122.159254
3037,COMM_159,1,,,,,,,47.870991,-122.156717
3038,COMM_1349,1,,,,,,,47.931767,-122.100463
3039,COMM_1071,1,,,,,,,47.857469,-121.990736
3040,COMM_1072,1,,,,,,,47.854114,-121.990686
3041,COMM_2705,1,,,,,,,47.75874,-122.164734
3042,COMM_2851,1,1,1,,,,,47.71544,-122.185817
3043,COMM_1859,1,,,,,,,47.637083,-122.236877
3044,COMM_2349,1,1,,,,,,47.601099,-122.33157
3045,COMM_2838,1,1,1,1,1,,,47.973389,-122.196882
3046,COMM_2836,1,1,1,1,1,,,47.976667,-122.206805
3047,COMM_2820,1,1,1,1,1,,,47.962858,-122.210975
3048,COMM_2816,1,1,1,1,1,,,47.951626,-122.213903
3049,COMM_2810,1,1,1,1,1,,,47.941407,-122.21782
3050,COMM_2796,1,1,1,1,1,,,47.92129,-122.228882
3051,COMM_2788,1,1,1,1,1,,,47.909968,-122.239459
3052,COMM_2784,1,1,1,1,1,,,47.896072,-122.25243
3053,COMM_2782,1,1,1,1,1,,,47.889213,-122.258838
3054,COMM_2780,1,1,1,1,1,,,47.872642,-122.274294
3055,COMM_2778,1,1,1,1,1,,,47.863767,-122.282573
3056,COMM_2770,1,1,1,1,1,,,47.840824,-122.298334
3057,COMM_2764,1,1,1,1,1,,,47.820787,-122.315656
3058,COMM_2760,1,1,1,1,1,,,47.813736,-122.321744
3059,COMM_2754,1,1,1,1,1,,,47.802879,-122.329612
